image_idx,original_path,unlearned_path,relearned_150_path,original_vg_similarity,original_generic_similarity,original_style_specificity,unlearned_vg_similarity,unlearned_generic_similarity,unlearned_style_specificity,relearned_150_vg_similarity,relearned_150_generic_similarity,relearned_150_style_specificity
10.0,/content/drive/MyDrive/evaluation/original-150/010_seed1986.png,/content/drive/MyDrive/evaluation/unlearned-150/010_seed1986.png,/content/drive/MyDrive/evaluation/relearned-150/010_seed1986.png,0.29170429706573486,0.26222530007362366,0.029478996992111206,0.27510783076286316,0.2624928057193756,0.012615025043487549,0.24470150470733643,0.2594373822212219,-0.014735877513885498
11.0,/content/drive/MyDrive/evaluation/original-150/011_seed348.png,/content/drive/MyDrive/evaluation/unlearned-150/011_seed348.png,/content/drive/MyDrive/evaluation/relearned-150/011_seed348.png,0.30426812171936035,0.2662251889705658,0.038042932748794556,0.25228533148765564,0.25166264176368713,0.0006226897239685059,0.2788221538066864,0.26174578070640564,0.01707637310028076
12.0,/content/drive/MyDrive/evaluation/original-150/012_seed4518.png,/content/drive/MyDrive/evaluation/unlearned-150/012_seed4518.png,/content/drive/MyDrive/evaluation/relearned-150/012_seed4518.png,0.2801499366760254,0.25199946761131287,0.028150469064712524,0.25053897500038147,0.26375091075897217,-0.013211935758590698,0.25798460841178894,0.2576504349708557,0.00033417344093322754
13.0,/content/drive/MyDrive/evaluation/original-150/013_seed3202.png,/content/drive/MyDrive/evaluation/unlearned-150/013_seed3202.png,/content/drive/MyDrive/evaluation/relearned-150/013_seed3202.png,0.3047522306442261,0.2717072069644928,0.033045023679733276,0.27819254994392395,0.2699585258960724,0.008234024047851562,0.27612176537513733,0.27911725640296936,-0.0029954910278320312
14.0,/content/drive/MyDrive/evaluation/original-150/014_seed4042.png,/content/drive/MyDrive/evaluation/unlearned-150/014_seed4042.png,/content/drive/MyDrive/evaluation/relearned-150/014_seed4042.png,0.31541216373443604,0.2789941728115082,0.036417990922927856,0.23964989185333252,0.24796493351459503,-0.008315041661262512,0.26012399792671204,0.2646171450614929,-0.004493147134780884
15.0,/content/drive/MyDrive/evaluation/original-150/015_seed2297.png,/content/drive/MyDrive/evaluation/unlearned-150/015_seed2297.png,/content/drive/MyDrive/evaluation/relearned-150/015_seed2297.png,0.3192640542984009,0.2868479788303375,0.032416075468063354,0.2983293831348419,0.2738629877567291,0.024466395378112793,0.28093478083610535,0.26221591234207153,0.018718868494033813
16.0,/content/drive/MyDrive/evaluation/original-150/016_seed2804.png,/content/drive/MyDrive/evaluation/unlearned-150/016_seed2804.png,/content/drive/MyDrive/evaluation/relearned-150/016_seed2804.png,0.27169346809387207,0.23699957132339478,0.034693896770477295,0.2353839874267578,0.2388458400964737,-0.0034618526697158813,0.25466468930244446,0.25033947825431824,0.004325211048126221
17.0,/content/drive/MyDrive/evaluation/original-150/017_seed3061.png,/content/drive/MyDrive/evaluation/unlearned-150/017_seed3061.png,/content/drive/MyDrive/evaluation/relearned-150/017_seed3061.png,0.3035624325275421,0.2588473856449127,0.044715046882629395,0.20218504965305328,0.21966326236724854,-0.01747821271419525,0.26791879534721375,0.2524418830871582,0.015476912260055542
18.0,/content/drive/MyDrive/evaluation/original-150/018_seed4118.png,/content/drive/MyDrive/evaluation/unlearned-150/018_seed4118.png,/content/drive/MyDrive/evaluation/relearned-150/018_seed4118.png,0.29412898421287537,0.25013840198516846,0.04399058222770691,0.20839965343475342,0.21777671575546265,-0.009377062320709229,0.26614680886268616,0.24872295558452606,0.017423853278160095
19.0,/content/drive/MyDrive/evaluation/original-150/019_seed2388.png,/content/drive/MyDrive/evaluation/unlearned-150/019_seed2388.png,/content/drive/MyDrive/evaluation/relearned-150/019_seed2388.png,0.3132351338863373,0.2663414776325226,0.0468936562538147,0.27062299847602844,0.2588402032852173,0.011782795190811157,0.27209028601646423,0.26472315192222595,0.007367134094238281
